,Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Eerste kleur,Cilinderinhoud,Datum eerste toelating,Datum eerste tenaamstelling in Nederland,Catalogusprijs
4494,P058PR,Personenauto,BMW,IX3,20220517,ZWART,,20220517,20220517,76151
4495,P058RB,Personenauto,MERCEDES-BENZ,EQB 250,20220531,BLAUW,,20220531,20220531,67596
4496,P058RJ,Personenauto,PEUGEOT,208,20220527,ZWART,,20220527,20220527,32600
4497,P058SB,Personenauto,AUDI,Q4 40 E-TRON,20220913,ZWART,,20220527,20220527,57771
4498,P058SF,Personenauto,PEUGEOT,208,20220531,WIT,,20220531,20220531,30749
4499,P058SK,Personenauto,AUDI,Q4 40 E-TRON,20220607,BLAUW,,20220607,20220607,61105
4500,P058SN,Personenauto,PEUGEOT,208,20220614,GRIJS,,20220614,20220614,31149
4501,P058TN,Personenauto,CITROEN,E-C4,20220610,ZWART,,20220610,20220610,44799
4502,P058TR,Personenauto,BMW,I4 M50,20220609,ZWART,,20220609,20220609,83377
4503,P058TV,Personenauto,PEUGEOT,208,20220627,WIT,,20220627,20220627,31999
4504,P058TX,Personenauto,TESLA,MODEL Y,20220623,WIT,,20220623,20220623,65990
4505,P058TZ,Personenauto,TESLA,MODEL Y,20220628,WIT,,20220628,20220628,64000
4506,P058VN,Personenauto,PEUGEOT,208,20220629,ROOD,,20220629,20220629,36129
4507,P058XD,Personenauto,CITROEN,E-C4,20220629,WIT,,20220629,20220629,33650
4508,P058ZL,Personenauto,OPEL,CORSA,20220707,ROOD,,20220131,20220705,35892
4509,P058ZR,Personenauto,AUDI,E-TRON 55,20220722,ZWART,,20220722,20220722,85669
4510,P058ZZ,Personenauto,CUPRA,BORN 150 KW 58/62 KWH,20220729,GRIJS,,20220729,20220729,40675
4511,P059BX,Personenauto,HYUNDAI,IONIQ5,20220207,GEEL,,20220207,20220207,46600
4512,P059DL,Personenauto,AUDI,Q4 35 E-TRON,20220219,BLAUW,,20220219,20220219,66650
4513,P059GB,Personenauto,SKODA,ENYAQ 80,20220228,GRIJS,,20220228,20220228,54615
4514,P059GH,Personenauto,KIA,SOUL,20220310,GRIJS,,20220310,20220310,39920
4515,P059GJ,Personenauto,VOLVO,XC40,20220307,GRIJS,,20220307,20220307,49009
4516,P059GR,Personenauto,KIA,NIRO,20220311,ZWART,,20220311,20220311,46840
4517,P059HH,Personenauto,SKODA,ENYAQ 60,20220314,GRIJS,,20220314,20220314,45355
4518,P059HR,Personenauto,KIA,NIRO,20220407,GRIJS,,20220407,20220407,42345
4519,P059JL,Personenauto,MG,MG ZS EV,20220331,ZWART,,20220331,20220331,35140
4520,P059KF,Personenauto,MERCEDES-BENZ,EQA 250,20220405,WIT,,20220405,20220405,54612
4521,P059KH,Personenauto,CUPRA,BORN,20220330,GRIJS,,20220330,20220330,43675
4522,P059KJ,Personenauto,SKODA,ENYAQ 80,20220811,ZWART,,20220429,20220429,52105
4523,P059KS,Personenauto,BMW,IX3,20220408,ZWART,,20220408,20220408,74598
4524,P059LD,Personenauto,KIA,NIRO,20220429,ZWART,,20220429,20220429,42345
4525,P059LS,Personenauto,OPEL,MOKKA,20220415,GRIJS,,20220126,20220415,37796
4526,P059NH,Personenauto,DACIA,SPRING,20220428,WIT,,20220428,20220428,18585
4527,P059NL,Personenauto,SKODA,ENYAQ 60,20220502,GRIJS,,20220502,20220502,46355
4528,P059NN,Personenauto,SKODA,ENYAQ 80,20220512,BLAUW,,20220512,20220512,56305
4529,P059NS,Personenauto,MERCEDES-BENZ,EQE 350+,20220927,GRIJS,,20220429,20220429,97659
4530,P059NV,Personenauto,CITROEN,E-BERLINGO,20220630,WIT,,20220630,20220630,44099
4531,P059PN,Personenauto,BMW,IX3,20220514,GRIJS,,20220514,20220514,68919
4532,P059RB,Personenauto,MERCEDES-BENZ,EQA 250,20220518,GRIJS,,20220518,20220518,61540
4533,P059RH,Personenauto,SKODA,ENYAQ 60,20220530,ZWART,,20220530,20220530,49465
4534,P059RJ,Personenauto,PEUGEOT,208,20220525,ZWART,,20220525,20220525,35150
4535,P059RZ,Personenauto,SKODA,ENYAQ 80,20220930,GRIJS,,20220131,20220615,48625
4536,P059SF,Personenauto,PEUGEOT,208,20220531,GEEL,,20220531,20220531,31300
4537,P059SV,Personenauto,OPEL,CORSA,20220603,WIT,,20220603,20220603,35442
4538,P059TN,Personenauto,CITROEN,E-C4,20220613,GRIJS,,20220613,20220613,39399
4539,P059TR,Personenauto,BMW,IX3,20220621,GRIJS,,20220621,20220621,77202
4540,P059TV,Personenauto,PEUGEOT,208,20220621,WIT,,20220621,20220621,31999
4541,P059TX,Personenauto,TESLA,MODEL Y,20220622,WIT,,20220622,20220622,64000
4542,P059VF,Personenauto,PEUGEOT,208,20220630,WIT,,20220630,20220630,31999
4543,P059VN,Personenauto,PEUGEOT,208,20220629,ROOD,,20220629,20220629,32379
4544,P059VX,Personenauto,TESLA,MODEL Y,20220625,WIT,,20220210,20220625,65989
4545,P059XD,Personenauto,CITROEN,E-C4,20220630,WIT,,20220630,20220630,41799
4546,P060BS,Personenauto,FIAT,500,20220929,ROOD,,20220131,20220131,35351
4547,P060BX,Personenauto,HYUNDAI,IONIQ5,20220212,GROEN,,20220212,20220212,47500
4548,P060FL,Personenauto,PEUGEOT,208,20220329,GRIJS,,20220329,20220329,35949
4549,P060GF,Personenauto,AUDI,Q4 35 E-TRON,20220308,ZWART,,20220308,20220308,55709
4550,P060GG,Personenauto,AUDI,Q4 40 E-TRON,20220325,GRIJS,,20220325,20220325,62382
4551,P060GX,Personenauto,MINI,COOPER SE,20220311,GRIJS,,20220311,20220311,39976
4552,P060HF,Personenauto,AUDI,E-TRON 55,20220318,GRIJS,,20220318,20220318,83989
4553,P060HH,Personenauto,AUDI,Q4 40 E-TRON,20220315,ZWART,,20220315,20220315,64191
4554,P060HR,Personenauto,KIA,NIRO,20220329,BLAUW,,20220329,20220329,42345
4555,P060JL,Personenauto,MG,MG ZS EV,20220331,WIT,,20220331,20220331,31990
4556,P060KH,Personenauto,CUPRA,BORN,20220330,GRIJS,,20220330,20220330,44925
4557,P060KJ,Personenauto,SKODA,ENYAQ 60,20221004,GRIJS,,20220429,20220429,48465
4558,P060KS,Personenauto,BMW,I4 EDRIVE40,20220408,BLAUW,,20220408,20220408,73171
4559,P060LD,Personenauto,KIA,NIRO,20220429,WIT,,20220429,20220429,40050
4560,P060NR,Personenauto,PEUGEOT,208,20220430,GRIJS,,20220430,20220430,30949
4561,P060NS,Personenauto,MERCEDES-BENZ,EQE 350+,20220530,GRIJS,,20220530,20220530,95432
4562,P060PB,Personenauto,SKODA,ENYAQ 80,20220513,WIT,,20220513,20220513,52915
4563,P060PS,Personenauto,RENAULT,ZOE,20220513,GRIJS,,20220513,20220513,36810
4564,P060RJ,Personenauto,PEUGEOT,208,20220525,BLAUW,,20220525,20220525,34679
